Nombre ;Tipo;Sexo;Año;Día comienzo;Mes comienzo;Día término;Mes término;Duración;País;Región;Mortalidad;Heridos;Afectados;Sin casa;Oceáno;Ayuda OFDA/ BHA;Velocidad;Daño USD
Katrina;;;;;;;;;;;;;;;;;;
Bret;;;;;;;;;;;;;;;;;;
Rita;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Stan;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Huracan Wilma;;;;;;;;;;;;;;;;;;
Alpha;;;;;;;;;;;;;;;;;;
Alpha;;;;;;;;;;;;;;;;;;
Beta;;;;;;;;;;;;;;;;;;
Beta;;;;;;;;;;;;;;;;;;
Beta;;;;;;;;;;;;;;;;;;
Gamma;;;;;;;;;;;;;;;;;;
Gamma;;;;;;;;;;;;;;;;;;
Adrian;;;;;;;;;;;;;;;;;;
Alberto;;;;;;;;;;;;;;;;;;
Ernesto;;;;;;;;;;;;;;;;;;
Ernesto;;;;;;;;;;;;;;;;;;
John;;;;;;;;;;;;;;;;;;
Lane;;;;;;;;;;;;;;;;;;
Paul ;;;;;;;;;;;;;;;;;;
Erin;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Lorenzo;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Noel;;;;;;;;;;;;;;;;;;
Olga;;;;;;;;;;;;;;;;;;
Olga;;;;;;;;;;;;;;;;;;
Olga;;;;;;;;;;;;;;;;;;
Henriette;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Alma;;;;;;;;;;;;;;;;;;
Alma;;;;;;;;;;;;;;;;;;
Alma;;;;;;;;;;;;;;;;;;
Huracán Dolly;;;;;;;;;;;;;;;;;;
Huracán Dolly;;;;;;;;;;;;;;;;;;
Huracán Dolly;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Fay;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Gustav;;;;;;;;;;;;;;;;;;
Huracán Hanna;;;;;;;;;;;;;;;;;;
Huracán Hanna;;;;;;;;;;;;;;;;;;
Huracán Hanna;;;;;;;;;;;;;;;;;;
Huracán Hanna;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Ike;;;;;;;;;;;;;;;;;;
Huracán Paloma;;;;;;;;;;;;;;;;;;
Huracán Paloma;;;;;;;;;;;;;;;;;;
Huracán Omar;;;;;;;;;;;;;;;;;;
Huracán Omar;;;;;;;;;;;;;;;;;;
Huracán Bill;;;;;;;;;;;;;;;;;;
Huracán Bill;;;;;;;;;;;;;;;;;;
Huracán Jimena;;;;;;;;;;;;;;;;;;
Huracán Ide;;;;;;;;;;;;;;;;;;
Huracán Ide;;;;;;;;;;;;;;;;;;
Huracán Ide;;;;;;;;;;;;;;;;;;
Huracán Ide;;;;;;;;;;;;;;;;;;
Huarcán Agatha;;;;;;;;;;;;;;;;;;
Huarcán Agatha;;;;;;;;;;;;;;;;;;
Huarcán Agatha;;;;;;;;;;;;;;;;;;
Alex;;;;;;;;;;;;;;;;;;
Alex;;;;;;;;;;;;;;;;;;
Alex;;;;;;;;;;;;;;;;;;
Alex;;;;;;;;;;;;;;;;;;
Huracán Frank;;;;;;;;;;;;;;;;;;
Huracán Earl;;;;;;;;;;;;;;;;;;
Huracán Earl;;;;;;;;;;;;;;;;;;
Huracán Karl;;;;;;;;;;;;;;;;;;
Nicole;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Mathew;;;;;;;;;;;;;;;;;;
Hermine;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
Huracán Tomas;;;;;;;;;;;;;;;;;;
