Nombre ;Clasificación ;Significado ;Link ;¿Repetido?
Nisarga;Mujer;;https://drlogy.com/baby-names/meaning-of-nisarga#:~:text=Meaning%20of%20Nisarga%20is%20Nature,are%20mainly%20Hindu%20by%20religion. ;
Nivar;Sin información ;;;
Noru;Sin información ;;;
Noul;"""Glowing or sunset""";;https://en.wikipedia.org/wiki/List_of_storms_named_Noul ;
Ockhi;Misceláneo ;Ojo, bengalí;;
Ofa;Hombre;;https://www.ask-oracle.com/baby-name/ofa-00081687/ ;Sí
Ompong;Misceláneo ;Diminutivo de Rodolfo, Filipinas;https://en.wiktionary.org/wiki/Ompong ;
Ongmang;Misceláneo ;Ciervo, coreano;;
Orama;Sin información ;;;
Orilla;Mujer ;;https://nameberry.com/b/girl-baby-name-orilla  ;
Oyang ;Sin información ;;;
Pabuk;Misceláneo ;"""large freshwater fish"", Laos";;
Pabuk;Sin información ;;;
Paeng;Hombre;;;
Pawan;Sin información ;;;
Peni;Sin información ;;;
Pepang ;Lugar ;Pareciera ser una localidad;;
Pepeng;Unisex;;https://www.ask-oracle.com/baby-name/pepeng/ ;
Phalin;Misceláneo ;Safiro;https://babynames.com/name/phailin ;
Phanfone;Misceláneo ;"""swallow"", Laos";;
Phet;Sin información ;;;
Phethai;Sin información ;;;
Philis ;Falta información ;;;
Phyan;Sin información ;;;
Podul;Sin información ;;;
Pongsona;Misceláneo ;"""garden balsan"", coreano";https://en.wikipedia.org/wiki/Typhoon_Pongsona ;
Prapiroon ;Sin información ;;https://www.jma.go.jp/jma/jma-eng/jma-center/rsmc-hp-pub-eg/tyname.html ;Sí
Prema;Unisex;;https://www.ancestry.com/first-name-meaning/prema ;
Raja ;Sin información ;;;
Rajah ;Sin información ;;;
Remal;Misceláneo ;Arena, arábico;https://www.hindustantimes.com/india-news/how-cyclone-remal-got-its-name-and-what-it-means-101716546652316.html ;
Rena;Sin información ;;;
Reshmi;Mujer ;;https://www.momjunction.com/baby-names/reshmi/ ;
Rex;Sin información ;;;
Roanu;Sin información ;;;
Roke;Sin información ;;;Sí
Rubing ;Sin información ;;;
Rumbia;Misceláneo ;Fruta;;Sí 
Rumiba;Sin información ;;;
Ruping;Misceláneo ;Apellido filipino;;
Rusa;Sin información ;;;
Sagar;Misceláneo ;Apellido, significa mar;;
Samba;Sin información ;;;
Saola;Misceláneo ;Animal ;;Sí
Saomai;Misceláneo ;"""Morning star"" en vietnamita";;
Saomai;Sin información ;;;
Seniang;Mujer;Diminutivo para una mujer;https://en.wikipedia.org/wiki/List_of_storms_named_Seniang#:~:text=The%20name%20Seniang%20has%20been,a%20nickname%20for%20a%20woman.;
Sepat;Sin información ;;;
Seroja;Sin información ;;;
Shaheen;Sin información ;Árabe;;
Shanshan;Mujer ;;https://www.ask-oracle.com/baby-name/shanshan/ ;Sí 
Sidr;Sin información ;;;
Sina ;Probablemente mujer;;https://samoanmythology.org/st-legend-of-sina/ ;
Sinlaku;Misceláneo ;"""Vegetation goddess"", Micronesia";;Sí
Sitrang;Misceláneo ;Apellido tailandés, significa hoja;;
Skip;Sin información ;;;
Son Tinh;Sin información ;;;Sí
Sonca;Misceláneo ;"""Nighttale"", vietnamita";;
Sose;Sin información ;;;
Soudelor;Sin información ;;;
Soulik;Misceláneo ;Apellido de Micronesia;;Sí 
Surigae;Sin información ;;;
Talas;Unisex;;;Sí
Talim;Sin información ;;;Sí
Talim;Hombre;;;
Tapah;Sin información ;;;
Tauktae;Misceláneo ;Lagartija;;
Tej;Hombre;;;
Tembin;Sin información ;;;
Tessi ;Muy probablemente mujer;;;
Thad;Sin información ;;;
Tingting;Probablemente mujer;;https://www.stripes.com/migration/guam-appears-safe-from-tropical-storm-1.21446 ;
Tino;Sin información ;;;
Titli;Misceláneo ;Mariposa;https://drlogy.com/baby-names/meaning-of-titli#:~:text=About%20Titli%20Name,are%20mainly%20Hindu%20by%20religion. ;
Tokage;Misceláneo ;Lagartija;https://sumikko-gurashi.fandom.com/wiki/Tokage ;
Toraji;Misceláneo ;Tigre;https://www.ask-oracle.com/baby-name/toraji/ ;Sí
Trami;Misceláneo ;Asociado a un árbol, rozas ;https://www.names.org/n/trami/about ;
Trami;Mujer;Rosa, vietnamita;https://www.names.org/n/trami/about ;Sí
Twe;Sin información ;;;
Ulla;Mujer;;https://www.ancestry.com/first-name-meaning/ulla#:~:text=In%20history%2C%20the%20name%20Ulla,from%20the%20powerful%20name%20Ulrike. ;
Ului;Sin información ;;;
Urduja;Misceláneo ;"""Warrior princess""";;
Usagi;Unisex;;;
Usman;Hombre;;https://hamariweb.com/names/muslim/arabic/boy/usman-meaning_3204/ ;
Utor;Misceláneo ;"""Burning field"", tagalo";;Sí
Utor;Sin información ;;;
Vamco;Sin información ;;;
Varda;Misceláneo ;Rosa ;https://mylofamily.com/parenting/babynames/meaning-of-vardah-82535#:~:text=The%20meaning%20of%20Vardah%20is,An%20Arabic%20word%20for%20rose. ;
Vernon ;Hombre;;https://en.wikipedia.org/wiki/Vernon_(given_name) ;
Vongfong;Misceláneo ;"""Wasp""";;
Waka;Misceláneo ;Tipo de balsa maorí;;
Washi;Misceláneo ;Águla, japonés;;
Wipha;Misceláneo ;Esplendor;https://en.wikipedia.org/wiki/List_of_storms_named_Wipha#:~:text=The%20name%20Wipha%20(Thai%3A%20%E0%B8%A7%E0%B8%B4%E0%B8%A0%E0%B8%B2,'splendor'%20or%20'Lustre. ;Sí
Wukong;Misceláneo ;"""Awakened to emptiness"", chino";;
Wukong;Misceláneo ;Rey chino;https://darkpictures.fandom.com/wiki/Sun_Wukong ;
Wutip;Misceláneo ;Mariposa;https://en.wikipedia.org/wiki/List_of_storms_named_Wutip#:~:text=The%20name%20Wutip%20has%20been,by%20Macau%20and%20means%20butterfly. ;Sí
Xangsane;Misceláneo ;Elefante, Laos;;
Yaas;Mujer;;https://quranicnames.com/yaas/ ;
Yagi;Mujer;;https://www.familyeducation.com/baby-names/name-meaning/yagi;Sí 
Yaku;Sin información ;Agua en Quechua;https://www.meteored.cl/noticias/actualidad/yaku-por-primera-vez-le-asignan-un-nombre-a-un-ciclon-en-costas-de-peru.html  ;
Yali;Sin información ;;;
Yasa;Sin información ;;;
Yasi;Sin información ;;;
Yayang ;Misceláneo ;Amor;;
Yemyin;Sin información ;;;
Yeyeng;Unisex;;https://www.nameslook.com/yeyeng  ;
Yu-Yeung;Unisex;;https://www.google.com/search?q=yung-yeung+name&rlz=1C5CHFA_enCL1034CL1034&oq=yung-yeung+name+&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigATIHCAIQIRigATIHCAMQIRigAdIBCTEzNDUwajBqNKgCALACAQ&sourceid=chrome&ie=UTF-8#:~:text=Yeung%20%2D%20Chinese%20Name,com%20%E2%80%BA%20ye... ;
Yunya;Mujer ;;https://www.ask-oracle.com/baby-name/yunya/ ;
Yutu;Sin información ;;;
Zeb;Sin información ;;;
Zeke;Sin información ;;;
Zelda;Probablemente mujer;;;
Zena;Mujer;;https://en.wikipedia.org/wiki/Zena_(given_name);
Zeta;Griego;;;
Zita;probablemente mujer ;;https://www.momjunction.com/baby-names/zita/;
